stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,121,0.4,0.2,0.4,0.06785343653978358,0.991125,0.0462383596164726,False,False,
coarse,122,0.1,0.8500000000000001,0.05,0.0679813946868997,0.988875,0.0384074846196903,False,False,
coarse,123,0.45,0.05,0.5,0.06805547669101619,0.9905,0.044210014210390385,False,False,
coarse,124,0.0,1.0,0.0,0.06825799440817037,0.98575,0.03122375654310301,False,False,
coarse,125,0.35000000000000003,0.35000000000000003,0.30000000000000004,0.06826804019782938,0.9925,0.04756775801993578,False,False,
coarse,126,0.25,0.6000000000000001,0.15000000000000002,0.06901007740749603,0.991625,0.04604688975141808,False,False,
coarse,127,0.2,0.7000000000000001,0.1,0.06905567433621206,0.99075,0.04401471920264562,False,False,
coarse,128,0.45,0.1,0.45,0.0690586001268248,0.990875,0.04621659425729581,False,False,
coarse,129,0.05,0.9500000000000001,0.0,0.06905960594837164,0.987,0.03507845033560782,False,False,
coarse,130,0.4,0.25,0.35000000000000003,0.06911022045858278,0.9915,0.048066779170846216,False,False,
coarse,131,0.30000000000000004,0.5,0.2,0.06924753024631569,0.992,0.04746288023015928,False,False,
coarse,132,0.15000000000000002,0.8,0.05,0.06943333872749868,0.99025,0.04227721967355286,False,False,
coarse,133,0.35000000000000003,0.4,0.25,0.06973781821488112,0.99275,0.04922526846688594,False,False,
coarse,134,0.45,0.15000000000000002,0.4,0.0701851178206439,0.9915,0.048233042482851235,False,False,
coarse,135,0.1,0.9,0.0,0.07022764415987738,0.988,0.03864872454490878,False,False,
coarse,136,0.4,0.30000000000000004,0.30000000000000004,0.07046329345589863,0.99225,0.049772018948721936,False,False,
coarse,137,0.5,0.0,0.5,0.0706081306503184,0.990375,0.04626964492139113,False,False,
coarse,138,0.25,0.65,0.1,0.07083446795116513,0.9915,0.04719141047202963,False,False,
coarse,139,0.30000000000000004,0.55,0.15000000000000002,0.07093522326591961,0.992375,0.04920234971482142,False,False,
coarse,140,0.2,0.75,0.05,0.07103757345108422,0.990625,0.04511073290407848,False,False,
coarse,141,0.35000000000000003,0.45,0.2,0.07130150905075291,0.992875,0.05072629424062777,False,False,
coarse,142,0.45,0.2,0.35000000000000003,0.0714175115266211,0.9915,0.049822278896361386,False,False,
coarse,143,0.5,0.05,0.45,0.07152351733310053,0.990875,0.04829162129521623,False,False,
coarse,144,0.15000000000000002,0.8500000000000001,0.0,0.07160765301087314,0.989,0.042175742588718874,False,False,
coarse,145,0.4,0.35000000000000003,0.25,0.07190974134814224,0.9925,0.05130261209166553,False,False,
coarse,146,0.5,0.1,0.4,0.07261084861347754,0.99125,0.050486416329758796,False,False,
coarse,147,0.30000000000000004,0.6000000000000001,0.1,0.07272458329540232,0.992,0.05009420134460155,False,False,
coarse,148,0.45,0.25,0.30000000000000004,0.07274752585194105,0.992125,0.05195480807873461,False,False,
coarse,149,0.25,0.7000000000000001,0.05,0.07277147894331627,0.991625,0.04853321986384741,False,False,
coarse,150,0.35000000000000003,0.5,0.15000000000000002,0.07296048977780431,0.992625,0.05180943495231445,False,False,
coarse,151,0.2,0.8,0.0,0.07315051433521695,0.990375,0.04603671969306577,False,False,
coarse,152,0.4,0.4,0.2,0.07344864846977808,0.993,0.053050211535786276,False,False,
coarse,153,0.5,0.15000000000000002,0.35000000000000003,0.07381483322874993,0.99225,0.05266430947506907,False,False,
coarse,154,0.55,0.0,0.45,0.07413617755451628,0.991,0.05064641233522919,False,False,
coarse,155,0.45,0.30000000000000004,0.25,0.07417094068217157,0.993,0.05394079923401644,False,False,
coarse,156,0.30000000000000004,0.65,0.05,0.074621420979295,0.992,0.0512883349874159,False,False,
coarse,157,0.35000000000000003,0.55,0.1,0.07471781293002719,0.992625,0.05315996763574987,False,False,
coarse,158,0.25,0.75,0.0,0.07483114107130759,0.991625,0.04971769002102559,False,False,
coarse,159,0.4,0.45,0.15000000000000002,0.07508080160011485,0.992875,0.05426729386941774,False,False,
coarse,160,0.5,0.2,0.30000000000000004,0.07512023311533826,0.992875,0.05475128755963013,False,False,
coarse,161,0.55,0.05,0.4,0.07514030592603355,0.991375,0.052638117979178785,False,False,
coarse,162,0.45,0.35000000000000003,0.2,0.07568601047379532,0.992625,0.05500517019651109,False,False,
coarse,163,0.55,0.1,0.35000000000000003,0.07630570854865164,0.992125,0.05490509269520938,False,False,
coarse,164,0.5,0.25,0.25,0.07652031415207226,0.992875,0.05620447865016319,False,False,
coarse,165,0.35000000000000003,0.6000000000000001,0.05,0.07657842275418801,0.992625,0.054322426966804296,False,False,
coarse,166,0.30000000000000004,0.7000000000000001,0.0,0.07663423087965049,0.991625,0.05210403359094992,False,False,
coarse,167,0.4,0.5,0.1,0.07680863231758157,0.993,0.05567979870104443,False,False,
coarse,168,0.45,0.4,0.15000000000000002,0.07729287438616729,0.993,0.056644466514478214,False,False,
coarse,169,0.55,0.15000000000000002,0.30000000000000004,0.07758279374237792,0.9925,0.05666034737162046,False,False,
coarse,170,0.6000000000000001,0.0,0.4,0.07781396098543213,0.991625,0.054943555988252804,False,False,
coarse,171,0.5,0.30000000000000004,0.2,0.0780120648997457,0.99275,0.05737099370502468,False,False,
coarse,172,0.35000000000000003,0.65,0.0,0.07854962894989644,0.992,0.054831203956867684,False,False,
coarse,173,0.4,0.55,0.05,0.07863635535975717,0.992875,0.056880841347525024,False,False,
coarse,174,0.6000000000000001,0.05,0.35000000000000003,0.07890025647572535,0.99225,0.05727940638707407,False,False,
coarse,175,0.55,0.2,0.25,0.07895821860624883,0.992875,0.05832543223701381,False,False,
